topic,word_count,study_times,total_time_mins,gap_days,confidence,quiz_score,days_since_last,burn_rate_days
Software Engineering,4022,3,53,9,5,54,6,7
Physics,4008,7,231,5,6,94,6,13
Data Structures,1062,10,215,2,2,55,3,10
Cyber Security,1800,1,55,5,3,65,23,2
Geography,1513,10,347,1,1,78,16,6
Financial Accounting,4543,9,351,14,10,69,17,6
Financial Accounting,987,15,337,4,8,37,23,6
Mathematics,2598,7,336,8,10,55,18,9
Corporate Finance,1119,4,204,8,5,60,20,2
Economics,3612,3,148,2,1,62,0,12
Hindi,1911,3,429,7,10,88,29,9
Microbiology,4147,4,222,11,10,75,28,4
Mathematics,1825,5,233,14,8,82,13,4
Economics,4277,12,33,1,9,76,6,18
History,653,6,112,6,4,70,9,6
English,1116,15,276,9,4,100,20,1
Geography,532,9,259,9,6,90,25,1
Compiler Design,2153,9,195,1,3,53,20,5
Microbiology,1084,8,195,8,3,47,0,7
Pathology,1515,10,335,8,4,95,1,10
Data Structures,4383,8,192,8,8,99,1,15
Corporate Finance,1853,8,214,4,3,93,1,12
Chemistry,1641,11,118,1,1,96,26,1
Financial Accounting,1689,6,309,1,7,82,1,19
English,4655,8,447,1,4,38,13,11
Software Engineering,2842,9,447,9,9,30,8,11
Anatomy,1032,10,433,12,1,51,6,1
Algorithms,4232,4,144,4,6,57,26,5
Algorithms,878,9,449,10,3,69,9,4
Mathematics,3187,3,193,9,3,32,28,1
Biochemistry,3898,14,276,5,1,76,20,2
Science,4546,15,450,5,7,91,13,12
DBMS,4381,4,373,13,4,79,4,8
Auditing,1511,4,79,14,6,41,17,1
Compiler Design,4694,5,410,6,8,68,26,8
Physics,3150,3,314,11,3,64,29,1
Mathematics,2764,7,265,13,8,45,1,9
Data Structures,3912,5,443,9,4,74,20,4
Hindi,1129,7,420,7,3,48,20,2
English,2760,11,407,7,10,87,0,18
Hindi,2760,15,282,4,9,51,18,10
DBMS,1914,2,38,9,5,83,21,1
Auditing,3819,5,287,12,10,55,9,10
Chemistry,1839,9,357,10,10,85,12,10
Science,1783,4,112,7,5,44,6,8
Geography,4188,13,470,5,6,96,17,9
Management Accounting,3972,7,324,6,8,33,21,7
Pathology,4579,13,394,11,1,60,3,4
Geography,975,8,31,11,4,80,12,1
History,4385,3,287,6,3,63,11,9
Biology,3340,5,136,8,8,35,21,5
Data Structures,4706,12,52,4,2,94,29,1
Auditing,1176,2,356,14,1,84,15,1
Social Studies,1725,6,406,9,8,46,13,8
Chemistry,879,4,301,14,10,31,13,5
Financial Accounting,1464,7,326,14,1,51,25,1
Cyber Security,4082,6,146,1,4,70,8,13
Biology,713,4,133,14,4,57,16,1
Software Engineering,4131,7,365,11,9,71,27,3
Chemistry,2303,3,354,9,10,90,2,18
Data Structures,475,2,87,2,5,59,10,10
English,4142,5,173,7,4,80,13,7
Biochemistry,2034,4,193,1,9,36,20,12
Machine Learning,4745,13,446,2,4,92,4,15
Compiler Design,4045,1,285,8,6,56,14,12
Economics,1086,4,270,5,10,53,26,8
Corporate Finance,2082,15,480,10,9,33,16,6
Biochemistry,2077,15,186,5,5,82,14,7
Geography,1068,8,388,2,5,72,3,15
Microbiology,3850,13,228,8,10,93,2,16
Financial Accounting,2771,4,300,9,10,40,21,7
Algorithms,2977,9,69,14,10,36,14,4
Pathology,505,13,52,7,2,78,24,1
Auditing,2085,5,245,8,7,41,19,5
Microbiology,2997,13,480,1,1,75,30,1
Computer Networks,3486,9,448,2,7,48,6,16
Mathematics,1481,5,238,9,7,74,6,10
Management Accounting,3413,7,363,8,3,60,2,9
Economics,4980,3,286,8,3,73,27,2
Financial Accounting,3574,14,383,7,1,60,16,1
Pathology,3085,2,441,10,3,57,12,8
Social Studies,2624,10,357,7,5,43,11,7
Mathematics,2957,6,322,5,8,52,23,8
Algorithms,2002,12,312,7,6,69,24,3
Mathematics,824,12,264,7,10,86,27,5
Machine Learning,465,11,47,13,9,51,13,3
Biochemistry,4339,9,436,4,2,33,28,1
Science,1408,3,78,14,1,98,22,1
Physics,1038,3,48,6,6,56,0,11
English,4245,12,180,7,8,40,16,8
Physiology,3845,9,195,2,1,97,1,12
Algorithms,1581,3,442,13,5,85,2,10
Pharmacology,907,11,250,14,1,46,0,1
Physiology,403,9,136,2,1,36,15,3
Cyber Security,2917,9,86,2,5,46,12,9
Cost Accounting,3376,13,202,8,4,34,11,4
Data Structures,662,9,260,14,3,50,3,1
Science,1131,14,36,13,8,85,11,4
Social Studies,1795,3,183,8,4,60,3,9
English,1862,4,173,5,9,95,18,11
Pharmacology,3944,13,478,12,9,84,24,3
Physiology,4736,4,268,5,9,91,20,12
Hindi,796,6,213,1,1,45,22,2
Auditing,2400,7,424,14,8,95,30,1
Anatomy,2615,4,308,4,8,95,12,15
English,358,9,90,14,4,76,7,1
Physics,2057,1,351,4,10,78,18,19
Computer Networks,2654,5,101,8,7,34,17,4
Science,4267,2,390,11,2,59,17,4
DBMS,1826,12,360,10,5,68,19,1
Financial Accounting,3018,9,302,6,1,37,21,1
English,1406,12,41,14,8,31,8,3
Anatomy,1330,11,252,13,4,99,6,3
Cyber Security,1295,10,470,10,6,85,4,9
Physiology,4266,14,396,6,6,70,22,5
Machine Learning,1574,4,194,5,3,77,26,1
Management Accounting,3472,9,120,2,2,69,6,10
Artificial Intelligence,4016,13,346,5,1,42,2,8
Geography,3100,12,479,11,8,78,23,3
Data Structures,1481,7,235,12,5,86,26,1
Operating Systems,1940,5,30,14,3,48,22,1
Computer Networks,1293,3,73,14,10,93,7,8
Cost Accounting,3302,10,273,2,6,87,0,17
History,2819,8,235,10,1,57,7,2
Algorithms,4480,9,299,9,7,61,15,7
Operating Systems,2887,14,332,8,2,43,23,1
Hindi,2184,11,306,5,7,90,7,13
Corporate Finance,4434,2,157,9,3,51,9,6
Chemistry,429,12,293,5,1,41,1,7
Cyber Security,1130,15,355,8,4,58,13,3
Chemistry,1337,13,84,8,1,79,25,1
Software Engineering,4936,14,456,4,4,55,23,5
Corporate Finance,3898,6,116,1,8,66,10,15
Cyber Security,1974,5,133,13,7,48,30,1
Hindi,2593,10,317,7,2,76,9,5
Machine Learning,1952,8,139,12,9,40,29,1
Computer Networks,2080,5,341,9,2,62,12,3
Compiler Design,2802,5,241,9,6,97,13,7
Geography,4179,12,341,1,5,33,3,15
DBMS,3037,6,273,13,1,79,19,1
Biology,4709,8,120,4,9,65,19,11
Biology,630,6,160,12,3,44,27,1
Hindi,3279,11,350,6,4,43,5,9
DBMS,3782,3,89,14,3,40,19,1
Artificial Intelligence,3334,9,259,10,3,93,27,1
Biology,2566,12,285,12,4,99,20,1
Management Accounting,1092,15,131,13,1,60,30,1
English,1890,6,162,6,8,82,30,3
Machine Learning,4280,15,193,4,4,52,0,13
Hindi,1663,4,40,9,9,37,14,6
Mathematics,673,1,310,5,10,98,19,17
English,1470,1,270,14,7,50,1,12
Physiology,2408,2,229,8,10,40,15,11
Biochemistry,3320,13,55,1,4,86,24,6
Social Studies,1582,5,258,4,1,69,13,5
Cost Accounting,1117,2,380,8,4,75,14,9
Software Engineering,1046,12,175,5,8,55,10,10
Auditing,2764,6,373,11,1,61,2,5
Data Structures,1045,8,125,6,9,78,11,11
Social Studies,1506,6,265,1,4,34,0,14
Auditing,2786,11,458,1,6,79,28,7
Data Structures,799,11,406,14,4,51,19,1
History,2064,4,266,1,4,73,8,13
Cost Accounting,4267,3,172,12,8,34,15,5
Algorithms,1549,8,167,7,3,97,29,1
Biology,4648,11,48,8,6,50,29,1
Machine Learning,602,11,242,9,1,73,16,1
History,831,5,316,9,10,70,30,3
Operating Systems,1749,15,466,7,10,77,6,14
Compiler Design,4655,13,42,4,8,97,2,17
Cyber Security,3179,14,128,6,9,83,30,4
English,3061,5,423,5,4,70,12,10
Economics,2754,3,58,13,4,82,17,1
English,4043,1,312,14,8,31,29,3
Compiler Design,555,13,198,12,7,45,10,3
Management Accounting,4366,10,309,2,5,54,28,5
Economics,3881,10,263,10,9,94,12,10
Biology,2617,2,401,12,2,32,4,7
Biochemistry,2504,2,466,14,1,30,27,1
Biochemistry,3350,10,479,13,5,93,21,1
Operating Systems,4354,15,273,13,3,57,24,1
Economics,4423,5,37,11,6,44,14,3
Social Studies,867,6,104,2,7,100,18,10
Financial Accounting,748,8,163,2,5,84,14,9
Pharmacology,3683,14,403,5,5,77,29,2
History,1623,3,51,14,1,85,8,1
Geography,800,9,50,5,9,93,7,13
Economics,900,11,253,8,4,75,20,1
Management Accounting,4243,6,478,4,7,77,29,8
Pharmacology,3367,10,207,12,9,88,3,11
Pharmacology,424,4,290,10,9,94,5,12
Biochemistry,3836,9,293,13,5,43,15,1
English,509,9,220,9,10,95,17,8
Operating Systems,3973,14,194,9,9,92,6,12
Economics,727,11,466,8,2,33,11,2
Hindi,3015,12,310,12,2,71,17,1
Compiler Design,1123,3,440,11,10,31,4,14
Physics,395,3,437,3,1,79,27,3
Mathematics,4946,1,240,10,10,36,16,13
Computer Networks,1086,14,75,1,3,54,28,1
Management Accounting,3971,10,204,2,5,61,15,10
Computer Networks,4251,6,372,6,5,37,13,8
Physics,2678,1,208,8,5,72,2,14
Data Structures,4317,13,243,3,5,83,11,11
Chemistry,1451,7,115,5,5,42,17,4
Science,3834,8,60,2,5,93,21,8
Biochemistry,3255,1,344,14,6,60,14,9
Computer Networks,2168,5,62,7,4,77,30,1
Geography,602,5,258,8,10,85,1,16
Cyber Security,4203,6,360,3,1,96,12,9
Physics,4895,1,122,2,7,89,10,17
Anatomy,2592,2,460,7,4,63,2,16
Mathematics,1877,15,401,7,7,40,9,9
English,1483,10,330,3,6,49,25,5
Anatomy,2083,8,477,12,8,45,20,3
Physics,2061,11,419,10,7,69,8,8
Economics,2100,15,41,10,8,79,10,7
Microbiology,1874,10,281,1,6,57,6,14
Corporate Finance,3120,7,46,3,1,86,13,5
Cyber Security,1366,6,340,1,10,70,20,14
Artificial Intelligence,4665,1,132,4,1,58,14,7
Hindi,681,9,428,2,8,45,22,9
Financial Accounting,2522,7,217,4,4,43,30,1
DBMS,1538,6,86,13,1,39,26,1
Microbiology,630,1,185,2,4,87,15,11
Social Studies,1663,9,124,10,1,41,24,1
Geography,3647,4,325,4,9,34,30,7
Software Engineering,3468,3,255,11,7,55,16,6
Pharmacology,1057,8,443,13,6,78,3,7
Cyber Security,4875,8,114,3,1,65,15,5
Biochemistry,1036,8,262,4,6,35,15,7
Hindi,1193,5,119,9,8,76,10,8
Anatomy,3054,9,422,5,4,56,21,4
Mathematics,4382,2,340,14,10,85,12,12
Cost Accounting,4236,9,132,11,2,32,10,1
Artificial Intelligence,2526,14,223,3,4,98,22,5
Biology,4783,4,229,8,7,49,7,11
Artificial Intelligence,2288,14,91,10,4,71,3,6
Mathematics,1569,9,157,12,10,59,17,4
DBMS,2602,2,473,8,5,86,11,13
DBMS,1268,8,419,6,9,97,7,15
Physiology,4744,7,56,3,5,88,7,13
Artificial Intelligence,1401,6,426,14,3,32,19,1
Compiler Design,1210,11,102,5,3,30,5,6
Pharmacology,1361,12,56,13,8,54,13,2
Corporate Finance,1467,10,403,7,4,39,18,2
Geography,3918,1,82,6,4,80,7,10
Pharmacology,423,11,413,2,10,57,15,14
Artificial Intelligence,1235,14,124,5,3,38,15,3
Pathology,1391,14,101,10,5,100,22,1
Mathematics,4651,5,127,7,6,54,21,5
Pathology,2695,12,54,6,8,50,22,5
Cyber Security,2426,14,402,8,1,61,6,4
Operating Systems,1381,5,125,5,6,40,20,4
Corporate Finance,1714,6,151,2,7,66,9,13
Science,4175,4,39,6,7,97,17,8
English,457,5,94,1,6,65,6,13
Auditing,3278,1,471,1,5,50,11,22
Microbiology,4914,5,425,10,1,65,22,1
History,4076,15,439,9,2,45,18,1
Machine Learning,3363,11,52,13,2,58,19,1
Economics,2565,13,52,9,2,47,13,1
Science,2252,5,141,9,7,55,11,7
Hindi,2872,3,66,9,5,63,24,1
Operating Systems,1806,3,83,9,9,95,9,10
Physics,384,7,161,6,6,99,18,6
Physics,2387,5,275,11,9,50,0,13
Chemistry,4717,10,376,5,7,38,5,14
Mathematics,4750,13,233,4,7,89,2,16
Cyber Security,1431,15,167,3,2,30,14,4
Management Accounting,2125,10,402,5,1,39,10,5
Cyber Security,4629,4,194,11,2,31,16,1
Pharmacology,2408,11,157,13,10,31,28,1
Financial Accounting,4496,12,213,13,1,56,22,1
Physics,1314,9,367,2,10,32,0,19
Mathematics,3108,4,378,9,6,85,17,7
History,3401,10,288,7,3,38,20,1
Corporate Finance,4741,4,477,6,1,72,1,13
Management Accounting,1114,12,312,2,1,69,0,11
Hindi,4252,9,424,1,3,49,8,12
Cyber Security,1883,7,305,7,10,54,21,8
Cost Accounting,1863,7,455,9,1,84,1,7
Corporate Finance,353,9,105,4,4,97,1,12
Geography,2732,1,151,4,7,95,24,10
English,396,2,437,1,5,59,3,20
Algorithms,2970,11,149,2,8,68,9,14
Corporate Finance,4272,6,380,9,9,60,2,15
Artificial Intelligence,2444,10,237,2,5,38,5,12
Software Engineering,2090,7,222,11,6,46,10,5
Auditing,3499,9,141,12,6,44,4,6
Artificial Intelligence,2978,11,458,10,5,41,5,7
Cost Accounting,2684,12,142,1,9,45,0,19
Mathematics,1299,2,277,13,2,39,3,4
Physiology,3973,6,309,10,2,72,8,5
Pharmacology,4332,1,240,14,2,57,1,8
Economics,4026,15,54,2,3,95,20,6
History,342,6,124,11,7,34,24,1
Chemistry,4904,12,89,1,6,48,24,7
Artificial Intelligence,1434,4,275,10,6,73,22,2
DBMS,1340,5,355,2,10,45,16,14
Management Accounting,3510,12,83,11,8,88,15,5
Pathology,2401,8,456,11,7,60,4,10
Biochemistry,4984,11,357,14,1,33,27,1
Pharmacology,3264,3,87,12,4,88,15,1
Management Accounting,3879,10,277,13,2,84,23,1
Biochemistry,3304,5,437,1,3,49,3,15
Geography,2959,10,214,13,3,92,3,4
Algorithms,4864,15,474,4,7,36,3,15
Mathematics,2749,15,413,1,9,39,7,17
Chemistry,2710,5,480,5,8,71,13,14
Hindi,744,4,201,9,1,82,3,5
Hindi,3089,6,388,3,6,98,14,13
Science,1675,4,54,3,3,69,21,3
Mathematics,3761,4,411,8,6,99,25,6
English,2753,8,396,3,1,38,2,10
Data Structures,507,9,238,2,4,64,17,6
Mathematics,2812,6,413,7,1,85,25,1
Cost Accounting,4256,4,121,4,1,39,5,8
Auditing,535,12,281,8,9,33,19,5
Auditing,1629,10,185,1,3,70,9,10
English,2568,9,118,9,10,84,6,12
Economics,3640,7,127,4,4,40,30,1
Computer Networks,667,3,373,6,6,42,1,15
Biology,2794,14,347,4,2,71,23,2
Hindi,506,8,93,4,9,82,30,5
Biochemistry,3556,13,453,5,9,100,7,16
History,1401,1,215,9,3,99,21,4
Cyber Security,1078,1,318,14,8,93,22,7
Physiology,788,15,451,7,4,60,2,9
Corporate Finance,787,12,360,9,4,86,20,1
Mathematics,4290,12,399,9,1,40,1,6
Cost Accounting,1755,6,294,8,5,46,24,1
Chemistry,2356,7,437,10,10,95,11,12
History,2887,8,219,14,9,40,25,1
Social Studies,2028,7,312,11,1,55,23,1
Mathematics,4747,10,283,1,2,79,15,9
Financial Accounting,357,4,300,10,10,95,19,8
Economics,3892,11,221,1,10,91,15,16
Software Engineering,1498,14,442,11,5,90,20,1
Biology,3170,3,326,1,10,79,20,17
Algorithms,3510,4,127,14,5,33,21,1
Computer Networks,976,13,233,10,4,43,1,6
Cost Accounting,3862,2,37,4,9,66,16,11
Mathematics,4688,15,65,6,2,79,25,1
Cost Accounting,575,9,237,14,2,87,21,1
Cost Accounting,3812,10,140,9,9,93,5,13
Artificial Intelligence,4104,10,101,13,2,83,6,2
English,4082,2,380,7,6,44,13,12
Corporate Finance,3286,14,372,3,7,43,29,5
Geography,4263,3,256,2,9,46,14,16
Data Structures,2493,11,150,11,10,59,12,8
Anatomy,3940,2,457,4,5,83,17,15
Science,2609,1,147,2,10,52,2,22
Science,3989,8,255,12,1,76,7,2
Machine Learning,4057,4,380,3,2,81,3,14
Computer Networks,910,14,104,14,9,41,0,7
Cost Accounting,3578,5,331,9,7,73,18,7
Geography,3290,10,230,7,7,100,17,8
Physics,692,11,84,12,3,79,3,3
History,4775,4,237,4,8,34,1,18
Chemistry,4706,4,135,5,7,99,22,8
English,3432,4,131,10,3,100,15,3
English,3760,11,84,14,5,37,3,3
English,1070,9,218,7,6,44,14,5
Microbiology,2775,3,390,9,5,50,25,3
Cost Accounting,1279,7,168,12,2,56,29,1
Data Structures,709,1,94,7,4,78,16,5
Biology,3773,5,343,7,5,72,11,9
Auditing,2693,7,405,8,5,98,26,3
Computer Networks,2766,11,272,13,8,79,12,5
Geography,4227,5,180,11,2,37,25,1
Compiler Design,1339,4,373,11,1,74,14,1
Mathematics,2089,2,109,9,4,34,13,3
Physics,4351,14,124,5,8,89,1,16
Hindi,1859,13,335,2,1,45,23,1
Cost Accounting,1319,15,455,11,7,34,4,7
English,3419,1,289,3,10,63,2,25
English,4128,15,364,11,10,86,20,6
Algorithms,1555,12,284,6,4,71,16,4
Economics,3079,10,204,2,3,62,14,8
Physics,2406,7,281,12,4,99,29,1
Science,3468,9,277,9,7,48,7,9
Mathematics,1691,14,246,10,2,59,4,3
Cyber Security,4262,15,385,4,2,31,19,3
Mathematics,1612,3,479,9,10,40,22,9
Cost Accounting,1470,5,137,5,7,96,11,11
Artificial Intelligence,2411,4,253,13,6,85,7,7
English,2497,4,203,13,10,45,7,9
Chemistry,345,3,462,11,4,64,1,10
English,2404,11,395,2,10,77,25,11
English,3873,7,309,9,7,88,17,7
Hindi,1708,15,145,3,7,56,9,11
Geography,2491,8,83,13,4,37,23,1
Machine Learning,1262,5,213,6,4,46,21,2
Mathematics,504,1,223,9,3,88,7,9
Pharmacology,2030,2,32,2,3,57,4,11
Anatomy,2948,8,421,6,6,83,28,4
Machine Learning,4577,2,264,3,2,80,30,4
DBMS,4242,13,349,4,5,99,17,9
Algorithms,769,5,477,13,1,44,18,1
Pharmacology,2959,5,371,6,3,78,16,6
Hindi,872,10,272,8,8,68,0,13
History,3406,13,392,8,1,47,20,1
Mathematics,1300,7,145,6,1,55,26,1
Physiology,2173,8,131,6,6,39,25,2
Cost Accounting,1704,3,429,8,5,62,8,11
Compiler Design,4801,3,215,12,6,78,20,3
English,3542,2,192,9,9,99,5,15
History,1204,2,75,2,9,87,22,11
Compiler Design,1187,1,33,9,9,33,20,4
Auditing,3692,4,30,2,6,93,15,11
English,1712,10,109,6,4,85,27,1
Economics,3370,11,198,13,5,58,3,5
Biochemistry,3029,10,148,13,4,65,11,1
Cyber Security,1460,10,303,5,9,35,29,4
Geography,1829,10,78,14,9,46,6,6
Pathology,3247,12,240,11,5,56,21,1
Algorithms,1241,12,195,1,9,34,16,12
Software Engineering,2218,11,145,3,6,41,2,13
Mathematics,1966,3,78,14,10,34,3,8
Biochemistry,4884,6,141,7,2,51,23,1
Geography,2707,11,339,9,6,96,3,11
Computer Networks,2493,13,183,13,5,64,2,5
Science,1534,1,403,4,5,44,11,17
Physics,936,15,270,10,4,81,11,3
Algorithms,1748,11,428,1,3,71,24,5
Algorithms,2907,3,98,3,7,77,24,7
Compiler Design,397,14,309,7,3,58,11,3
Computer Networks,3379,9,445,8,5,84,28,1
Pathology,4994,10,174,4,2,63,2,11
Mathematics,776,1,387,2,3,33,9,16
Cyber Security,2230,7,474,13,7,77,20,2
Economics,2030,4,306,7,9,100,10,14
Chemistry,4736,13,199,11,1,82,10,1
Artificial Intelligence,4389,15,343,1,5,58,7,14
Pharmacology,3956,4,107,3,6,53,17,9
Management Accounting,3678,6,216,10,1,38,18,1
History,2530,3,241,11,3,87,12,4
DBMS,884,10,476,12,1,62,24,1
Corporate Finance,1912,9,403,4,9,79,2,18
Geography,2235,11,330,2,9,47,21,10
Physics,4090,1,201,14,7,55,17,5
English,2113,5,124,11,5,60,3,6
Auditing,2456,12,169,8,1,88,6,4
Machine Learning,1171,6,55,5,6,92,3,12
Physics,4043,14,235,13,8,82,7,8
Compiler Design,1702,8,269,6,2,66,15,3
Artificial Intelligence,3666,7,312,12,8,60,22,3
Data Structures,4338,12,305,8,10,89,22,8
Management Accounting,2660,11,85,12,7,66,15,3
Algorithms,2180,8,211,5,6,97,28,3
Computer Networks,865,12,444,1,4,57,9,11
Mathematics,1297,8,453,5,8,84,4,16
English,4709,13,230,14,5,77,3,6
Artificial Intelligence,1540,9,142,5,6,62,10,9
English,3587,5,35,10,4,48,9,3
Cost Accounting,2973,7,89,10,9,52,30,1
Management Accounting,4849,11,404,11,2,67,9,3
Pathology,2250,3,63,1,1,100,26,2
Pathology,4716,10,73,14,2,78,15,1
Physics,1667,12,410,3,7,81,30,5
Mathematics,2206,8,186,9,2,36,26,1
Data Structures,3149,8,89,8,5,88,9,7
Anatomy,1520,1,82,6,10,63,11,13
Mathematics,1629,7,463,8,8,98,3,15
Mathematics,3971,14,306,9,3,38,29,1
Physics,3185,4,348,6,6,36,21,6
English,3890,10,135,3,7,79,28,6
Corporate Finance,4105,2,294,14,6,57,2,10
Hindi,713,6,117,8,2,94,7,4
Algorithms,1353,5,183,5,8,74,0,16
Hindi,4697,8,161,9,6,51,4,9
Pharmacology,3027,2,44,11,6,72,15,3
Geography,4957,15,53,1,7,64,15,12
Economics,4655,5,352,4,8,90,5,18
Microbiology,2383,7,387,2,9,100,9,18
Compiler Design,3925,15,259,2,6,35,8,13
Social Studies,1785,6,393,13,5,42,21,1
English,4747,13,320,2,1,92,18,6
Cost Accounting,4889,3,227,12,9,100,29,4
Economics,477,4,164,4,4,98,29,2
Algorithms,1572,1,244,5,9,48,11,16
Economics,3328,14,291,9,4,47,14,3
Science,875,1,52,7,3,98,23,1
Social Studies,857,1,446,11,1,95,23,5
DBMS,2446,14,287,7,1,53,8,3
Operating Systems,3051,6,30,12,1,66,2,2
Microbiology,4877,10,286,7,7,31,24,4
Mathematics,2673,15,298,2,8,31,17,10
Geography,1867,1,68,8,10,92,15,10
Biology,3827,13,167,5,10,90,28,8
Chemistry,4046,8,419,3,9,47,9,16
Computer Networks,2861,5,269,6,3,61,26,1
DBMS,3410,6,61,14,1,96,8,1
Biochemistry,4466,4,179,1,1,35,23,4
Data Structures,4840,14,272,14,4,50,7,2
Science,4798,4,267,12,6,39,15,4
Auditing,2670,1,292,8,4,90,27,6
Financial Accounting,4533,1,331,7,5,43,9,15
English,4335,14,192,13,2,58,14,1
Mathematics,2375,6,413,1,2,31,22,5
Anatomy,3602,10,62,14,9,98,28,1
Financial Accounting,1961,9,363,7,4,98,11,7
Anatomy,1022,13,217,7,9,93,10,11
Microbiology,2341,6,449,9,10,66,26,6
Social Studies,461,4,395,4,5,42,25,5
Algorithms,1369,12,165,5,3,48,29,1
Mathematics,3520,3,63,9,7,35,3,10
Artificial Intelligence,2278,2,454,4,3,97,1,19
Physiology,1773,4,300,7,1,30,27,1
Machine Learning,3290,7,368,7,5,39,26,2
Science,3874,8,467,7,8,84,0,17
Social Studies,1431,2,361,13,10,73,24,6
Mathematics,2079,14,125,13,9,48,19,1
Algorithms,1959,11,283,10,6,94,22,2
Corporate Finance,4009,8,181,11,4,87,24,1
Algorithms,445,3,174,1,5,75,10,12
Software Engineering,3962,2,32,11,8,56,17,4
Algorithms,1331,5,250,4,9,93,24,9
DBMS,3833,7,131,14,4,43,6,2
Auditing,1272,7,351,10,4,52,6,5
Machine Learning,2903,5,79,4,7,53,18,8
Mathematics,4093,14,173,5,5,86,28,3
Pharmacology,3473,12,298,13,6,97,19,1
Economics,1201,15,105,2,1,97,7,8
English,4982,4,231,9,10,58,19,9
Cost Accounting,3382,5,428,4,2,59,16,7
Algorithms,4165,1,260,14,8,84,10,11
Algorithms,2971,5,115,10,5,92,5,8
Auditing,333,1,281,8,5,45,16,8
Mathematics,1375,9,210,9,6,78,18,3
Social Studies,2031,2,351,5,2,60,7,11
Pathology,3839,9,30,4,5,53,29,1
Computer Networks,1094,7,328,7,9,63,14,10
Data Structures,1679,8,272,6,9,82,20,9
Auditing,3315,4,133,3,6,68,3,15
DBMS,3780,15,348,6,1,47,11,4
Machine Learning,2308,5,121,14,8,97,1,9
Social Studies,497,12,286,4,8,93,19,9
Physics,1228,12,417,10,3,39,15,1
Machine Learning,430,1,160,8,2,59,14,3
Compiler Design,3452,8,182,2,4,96,26,5
Corporate Finance,1398,12,479,2,5,35,10,10
Operating Systems,388,15,79,8,1,74,24,1
English,3094,9,418,10,3,63,27,1
Compiler Design,3168,8,462,13,2,33,16,1
Financial Accounting,864,9,241,2,3,43,12,7
Auditing,4064,2,341,1,3,61,12,14
